Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,468354,-,-,-,40.17,-105.62,0,3444,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2010,1,1,0,30,0,0,-16.3
2010,1,1,1,30,0,0,-16.8
2010,1,1,2,30,0,0,-17.1
2010,1,1,3,30,0,0,-17.1
2010,1,1,4,30,0,0,-17
2010,1,1,5,30,0,0,-16.8
2010,1,1,6,30,0,0,-16.7
2010,1,1,7,30,0,0,-16.400000000000002
2010,1,1,8,30,0,0,-16.1
2010,1,1,9,30,0,0,-15.700000000000001
2010,1,1,10,30,0,0,-15.3
2010,1,1,11,30,0,0,-15
2010,1,1,12,30,0,0,-14.8
2010,1,1,13,30,0,0,-14.600000000000001
2010,1,1,14,30,0,0,-13.9
2010,1,1,15,30,89,2,-12
2010,1,1,16,30,79,0,-9.700000000000001
2010,1,1,17,30,63,0,-7.7
2010,1,1,18,30,142,2,-6.4
2010,1,1,19,30,82,0,-5.7
2010,1,1,20,30,110,0,-5.5
2010,1,1,21,30,65,0,-6.300000000000001
2010,1,1,22,30,102,2,-7.800000000000001
2010,1,1,23,30,16,0,-9.5
2010,1,2,0,30,0,0,-10.700000000000001
2010,1,2,1,30,0,0,-11.4
2010,1,2,2,30,0,0,-11.8
2010,1,2,3,30,0,0,-12
2010,1,2,4,30,0,0,-12.200000000000001
2010,1,2,5,30,0,0,-12.200000000000001
2010,1,2,6,30,0,0,-12.200000000000001
2010,1,2,7,30,0,0,-12.3
2010,1,2,8,30,0,0,-12.200000000000001
2010,1,2,9,30,0,0,-12.100000000000001
2010,1,2,10,30,0,0,-11.8
2010,1,2,11,30,0,0,-11.5
2010,1,2,12,30,0,0,-11.5
2010,1,2,13,30,0,0,-11.9
2010,1,2,14,30,0,0,-11.600000000000001
2010,1,2,15,30,8,0,-9.8
2010,1,2,16,30,31,0,-7.9
2010,1,2,17,30,196,12,-6.7
2010,1,2,18,30,62,0,-6.800000000000001
2010,1,2,19,30,147,1,-7.4
2010,1,2,20,30,167,3,-7.6000000000000005
2010,1,2,21,30,122,3,-7.800000000000001
2010,1,2,22,30,21,0,-9.200000000000001
2010,1,2,23,30,14,0,-11
2010,1,3,0,30,0,0,-12
2010,1,3,1,30,0,0,-12.5
2010,1,3,2,30,0,0,-13
2010,1,3,3,30,0,0,-13.4
2010,1,3,4,30,0,0,-13.9
2010,1,3,5,30,0,0,-14.3
2010,1,3,6,30,0,0,-14.600000000000001
2010,1,3,7,30,0,0,-14.700000000000001
2010,1,3,8,30,0,0,-14.700000000000001
2010,1,3,9,30,0,0,-14.600000000000001
2010,1,3,10,30,0,0,-14.4
2010,1,3,11,30,0,0,-14.5
2010,1,3,12,30,0,0,-15.200000000000001
2010,1,3,13,30,0,0,-16.1
2010,1,3,14,30,0,0,-15.600000000000001
2010,1,3,15,30,10,0,-13.3
2010,1,3,16,30,23,0,-11.100000000000001
2010,1,3,17,30,201,12,-9.8
2010,1,3,18,30,309,107,-9.4
2010,1,3,19,30,257,22,-9.200000000000001
2010,1,3,20,30,180,6,-9.4
2010,1,3,21,30,125,0,-9.9
2010,1,3,22,30,20,0,-11.5
2010,1,3,23,30,17,0,-13.8
2010,1,4,0,30,0,0,-15.4
2010,1,4,1,30,0,0,-16.7
2010,1,4,2,30,0,0,-17.900000000000002
2010,1,4,3,30,0,0,-19
2010,1,4,4,30,0,0,-19.6
2010,1,4,5,30,0,0,-19.6
2010,1,4,6,30,0,0,-19.1
2010,1,4,7,30,0,0,-18.400000000000002
2010,1,4,8,30,0,0,-17.8
2010,1,4,9,30,0,0,-17.7
2010,1,4,10,30,0,0,-17.8
2010,1,4,11,30,0,0,-17.8
2010,1,4,12,30,0,0,-17.900000000000002
2010,1,4,13,30,0,0,-18
2010,1,4,14,30,0,0,-17.2
2010,1,4,15,30,71,1,-15
2010,1,4,16,30,27,0,-12
2010,1,4,17,30,35,0,-9.9
2010,1,4,18,30,48,0,-8.700000000000001
2010,1,4,19,30,298,206,-8.200000000000001
2010,1,4,20,30,275,84,-8.1
2010,1,4,21,30,217,82,-8.700000000000001
2010,1,4,22,30,113,2,-10.200000000000001
2010,1,4,23,30,15,460,-11.9
2010,1,5,0,30,0,0,-13.100000000000001
2010,1,5,1,30,0,0,-13.9
2010,1,5,2,30,0,0,-14.3
2010,1,5,3,30,0,0,-14.5
2010,1,5,4,30,0,0,-14.600000000000001
2010,1,5,5,30,0,0,-14.5
2010,1,5,6,30,0,0,-14.3
2010,1,5,7,30,0,0,-14.100000000000001
2010,1,5,8,30,0,0,-14
2010,1,5,9,30,0,0,-13.8
2010,1,5,10,30,0,0,-13.8
2010,1,5,11,30,0,0,-13.9
2010,1,5,12,30,0,0,-13.9
2010,1,5,13,30,0,0,-13.700000000000001
2010,1,5,14,30,0,0,-12.9
2010,1,5,15,30,96,17,-11
2010,1,5,16,30,22,0,-8.6
2010,1,5,17,30,112,0,-6.800000000000001
2010,1,5,18,30,36,0,-5.800000000000001
2010,1,5,19,30,91,0,-5.5
2010,1,5,20,30,18,0,-5.800000000000001
2010,1,5,21,30,36,0,-6.4
2010,1,5,22,30,82,0,-7.2
2010,1,5,23,30,20,0,-7.7
2010,1,6,0,30,0,0,-8.200000000000001
2010,1,6,1,30,0,0,-8.700000000000001
2010,1,6,2,30,0,0,-9.3
2010,1,6,3,30,0,0,-9.8
2010,1,6,4,30,0,0,-10.100000000000001
2010,1,6,5,30,0,0,-10.200000000000001
2010,1,6,6,30,0,0,-10.4
2010,1,6,7,30,0,0,-10.700000000000001
2010,1,6,8,30,0,0,-10.700000000000001
2010,1,6,9,30,0,0,-10.700000000000001
2010,1,6,10,30,0,0,-10.5
2010,1,6,11,30,0,0,-10.5
2010,1,6,12,30,0,0,-10.9
2010,1,6,13,30,0,0,-11.3
2010,1,6,14,30,0,0,-11.100000000000001
2010,1,6,15,30,15,0,-10.3
2010,1,6,16,30,65,0,-9.3
2010,1,6,17,30,220,24,-8.5
2010,1,6,18,30,22,0,-8.1
2010,1,6,19,30,35,0,-8.4
2010,1,6,20,30,71,0,-9
2010,1,6,21,30,83,0,-9.9
2010,1,6,22,30,59,0,-11.3
2010,1,6,23,30,17,0,-13.100000000000001
2010,1,7,0,30,0,0,-14.9
