Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,481526,-,-,-,40.21,-105.1,0,1553,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2011,1,1,0,30,0,0,-14.100000000000001
2011,1,1,1,30,0,0,-14.4
2011,1,1,2,30,0,0,-14.5
2011,1,1,3,30,0,0,-14.200000000000001
2011,1,1,4,30,0,0,-14
2011,1,1,5,30,0,0,-13.9
2011,1,1,6,30,0,0,-13.9
2011,1,1,7,30,0,0,-13.8
2011,1,1,8,30,0,0,-13.600000000000001
2011,1,1,9,30,0,0,-13.4
2011,1,1,10,30,0,0,-13.200000000000001
2011,1,1,11,30,0,0,-13.100000000000001
2011,1,1,12,30,0,0,-13
2011,1,1,13,30,0,0,-12.8
2011,1,1,14,30,0,0,-12.100000000000001
2011,1,1,15,30,72,3,-10.700000000000001
2011,1,1,16,30,129,4,-9.4
2011,1,1,17,30,139,1,-8.5
2011,1,1,18,30,184,3,-7.9
2011,1,1,19,30,246,14,-7.6000000000000005
2011,1,1,20,30,213,12,-7.4
2011,1,1,21,30,54,914,-7.6000000000000005
2011,1,1,22,30,40,776,-8.3
2011,1,1,23,30,15,0,-9.200000000000001
2011,1,2,0,30,0,0,-9.8
2011,1,2,1,30,0,0,-10.200000000000001
2011,1,2,2,30,0,0,-10.5
2011,1,2,3,30,0,0,-10.9
2011,1,2,4,30,0,0,-11.100000000000001
2011,1,2,5,30,0,0,-11.200000000000001
2011,1,2,6,30,0,0,-10.9
2011,1,2,7,30,0,0,-10.4
2011,1,2,8,30,0,0,-10
2011,1,2,9,30,0,0,-9.600000000000001
2011,1,2,10,30,0,0,-9
2011,1,2,11,30,0,0,-8.3
2011,1,2,12,30,0,0,-7.800000000000001
2011,1,2,13,30,0,0,-7.4
2011,1,2,14,30,0,0,-6.5
2011,1,2,15,30,55,1,-4.6000000000000005
2011,1,2,16,30,87,1,-2.2
2011,1,2,17,30,128,2,-0.1
2011,1,2,18,30,188,4,1.3
2011,1,2,19,30,154,2,1.9000000000000001
2011,1,2,20,30,69,0,1.9000000000000001
2011,1,2,21,30,15,0,1
2011,1,2,22,30,36,769,-1
2011,1,2,23,30,17,1,-2.8000000000000003
2011,1,3,0,30,0,0,-3.6
2011,1,3,1,30,0,0,-4
2011,1,3,2,30,0,0,-4.4
2011,1,3,3,30,0,0,-4.7
2011,1,3,4,30,0,0,-5.1000000000000005
2011,1,3,5,30,0,0,-5.5
2011,1,3,6,30,0,0,-5.6000000000000005
2011,1,3,7,30,0,0,-5.5
2011,1,3,8,30,0,0,-5.4
2011,1,3,9,30,0,0,-5.5
2011,1,3,10,30,0,0,-5.7
2011,1,3,11,30,0,0,-6
2011,1,3,12,30,0,0,-6.5
2011,1,3,13,30,0,0,-7.300000000000001
2011,1,3,14,30,0,0,-6.4
2011,1,3,15,30,35,730,-4
2011,1,3,16,30,49,885,-1.7000000000000002
2011,1,3,17,30,58,951,0.2
2011,1,3,18,30,61,981,1.4000000000000001
2011,1,3,19,30,64,980,1.9000000000000001
2011,1,3,20,30,61,955,1.9000000000000001
2011,1,3,21,30,52,897,1
2011,1,3,22,30,40,757,-1
2011,1,3,23,30,15,373,-3.2
2011,1,4,0,30,0,0,-4.7
2011,1,4,1,30,0,0,-5.800000000000001
2011,1,4,2,30,0,0,-6.7
2011,1,4,3,30,0,0,-7.300000000000001
2011,1,4,4,30,0,0,-7.7
2011,1,4,5,30,0,0,-7.9
2011,1,4,6,30,0,0,-8
2011,1,4,7,30,0,0,-7.9
2011,1,4,8,30,0,0,-7.9
2011,1,4,9,30,0,0,-7.800000000000001
2011,1,4,10,30,0,0,-7.800000000000001
